Unnamed: 0,timestamp,N,NE,E,SE,S,SW,W,NW
111236,2022-04-15 17:30:00-06:00,2.964,1.84,1.84,2.118,1.886,2.555,2.313,1.955
111237,2022-04-15 17:31:00-06:00,2.81,1.813,1.854,2.155,1.889,2.541,2.306,2.799
111238,2022-04-15 17:32:00-06:00,2.698,1.886,1.86,2.137,1.87,2.552,2.318,4.197
111239,2022-04-15 17:33:00-06:00,2.609,1.77,1.864,2.144,1.872,2.54,2.419,1.97
111240,2022-04-15 17:34:00-06:00,2.532,1.771,1.866,2.15,1.883,2.539,5.141,1.978
111241,2022-04-15 17:35:00-06:00,2.445,1.764,1.888,2.171,1.883,2.549,2.582,1.963
111242,2022-04-15 17:36:00-06:00,2.419,1.777,1.901,2.177,1.872,2.564,3.709,1.959
111243,2022-04-15 17:37:00-06:00,2.375,1.817,1.924,2.196,1.874,2.588,4.087,2.45
111244,2022-04-15 17:38:00-06:00,2.337,1.787,1.939,2.203,1.882,2.579,2.502,5.188
111245,2022-04-15 17:39:00-06:00,2.323,1.806,1.944,2.216,1.889,2.564,2.349,2.025
111246,2022-04-15 17:40:00-06:00,2.269,1.81,1.974,2.21,1.894,2.573,2.502,1.99
111247,2022-04-15 17:41:00-06:00,2.256,1.837,1.972,2.232,1.902,2.569,7.813,2.01
111248,2022-04-15 17:42:00-06:00,2.245,1.833,1.998,2.22,1.894,2.588,9.493,2.008
111249,2022-04-15 17:43:00-06:00,2.226,1.855,1.986,2.236,1.914,2.566,7.611,1.987
111250,2022-04-15 17:44:00-06:00,2.216,1.841,2.021,2.223,1.903,2.557,5.421,2.005
111251,2022-04-15 17:45:00-06:00,2.182,1.87,2.017,2.239,1.893,2.545,6.436,2.008
111252,2022-04-15 17:46:00-06:00,2.205,1.874,2.04,2.227,1.898,2.528,3.317,1.997
111253,2022-04-15 17:47:00-06:00,2.158,1.865,2.023,2.237,1.88,2.623,2.238,2.015
111254,2022-04-15 17:48:00-06:00,2.125,1.858,2.038,2.228,1.912,3.425,2.214,2.001
111255,2022-04-15 17:49:00-06:00,2.128,1.874,2.041,2.241,1.9,2.445,2.888,2.009
111256,2022-04-15 17:50:00-06:00,2.139,1.85,2.072,2.228,1.889,4.301,2.216,2.014
111257,2022-04-15 17:51:00-06:00,2.118,1.849,2.076,2.215,1.884,5.197,2.217,2.029
111258,2022-04-15 17:52:00-06:00,2.124,1.844,2.075,2.219,1.909,2.753,2.197,2.032
111259,2022-04-15 17:53:00-06:00,2.135,1.828,2.098,2.217,1.889,2.382,2.19,2.028
111260,2022-04-15 17:54:00-06:00,2.108,1.804,2.084,2.222,1.886,3.36,2.205,2.029
111261,2022-04-15 17:55:00-06:00,2.124,1.781,2.062,2.211,1.872,2.533,2.217,2.031
111262,2022-04-15 17:56:00-06:00,2.122,1.767,2.061,2.202,1.869,4.108,2.295,2.041
111263,2022-04-15 17:57:00-06:00,2.15,1.76,2.062,2.204,1.85,3.458,2.404,2.033
111264,2022-04-15 17:58:00-06:00,2.117,1.767,2.039,2.213,1.853,3.812,2.403,2.03
111265,2022-04-15 17:59:00-06:00,2.135,1.75,2.048,2.205,1.841,3.381,2.283,2.037
111266,2022-04-15 18:00:00-06:00,2.135,1.75,2.048,2.205,1.841,3.381,2.283,2.037
111267,2022-04-15 18:01:00-06:00,2.157,1.858,2.029,2.211,1.835,2.333,2.479,2.01
111268,2022-04-15 18:02:00-06:00,2.165,1.836,2.013,2.208,1.83,2.314,2.606,2.015
111269,2022-04-15 18:03:00-06:00,2.141,1.856,1.992,2.193,1.808,2.311,2.739,2.016
111270,2022-04-15 18:04:00-06:00,2.14,1.872,1.991,2.198,1.809,2.298,2.839,2.01
111271,2022-04-15 18:05:00-06:00,2.132,1.881,1.996,2.163,1.816,2.288,3.344,1.997
111272,2022-04-15 18:06:00-06:00,2.11,1.91,1.982,2.162,1.799,2.29,3.435,1.986
111273,2022-04-15 18:07:00-06:00,2.078,1.905,1.964,2.143,1.803,2.261,2.971,1.977
111274,2022-04-15 18:08:00-06:00,2.074,1.931,1.975,2.129,1.787,2.269,2.944,1.975
111275,2022-04-15 18:09:00-06:00,2.08,1.9,1.955,2.104,1.777,2.244,4.273,1.956
111276,2022-04-15 18:10:00-06:00,2.047,1.876,1.957,2.075,1.767,2.253,3.332,1.945
111277,2022-04-15 18:11:00-06:00,2.057,1.875,1.944,2.056,1.758,2.262,2.537,1.943
111278,2022-04-15 18:12:00-06:00,2.069,1.849,1.935,2.045,1.751,2.289,4.964,1.914
111279,2022-04-15 18:13:00-06:00,2.086,1.823,1.901,2.042,1.736,2.291,2.791,1.905
111280,2022-04-15 18:14:00-06:00,2.108,1.823,1.881,2.061,1.731,2.291,3.034,1.905
111281,2022-04-15 18:15:00-06:00,2.098,1.812,1.859,2.076,1.71,2.389,2.443,1.896
111282,2022-04-15 18:16:00-06:00,2.122,1.785,1.851,2.087,1.708,3.333,2.112,1.875
111283,2022-04-15 18:17:00-06:00,2.12,1.783,1.82,2.087,1.692,5.483,2.078,1.875
111284,2022-04-15 18:18:00-06:00,2.107,1.81,1.798,2.122,1.666,4.093,2.522,1.86
111285,2022-04-15 18:19:00-06:00,2.1,1.836,1.799,2.128,1.662,3.47,2.111,1.861
111286,2022-04-15 18:20:00-06:00,2.105,1.848,1.797,2.152,1.676,3.745,1.991,1.858
111287,2022-04-15 18:21:00-06:00,2.066,1.869,1.793,2.17,1.685,2.457,2.022,1.845
111288,2022-04-15 18:22:00-06:00,2.061,1.893,1.789,2.182,1.67,4.068,2.011,1.86
111289,2022-04-15 18:23:00-06:00,2.02,1.887,1.811,2.212,1.674,3.021,2.035,1.837
111290,2022-04-15 18:24:00-06:00,1.998,1.865,1.806,2.224,1.691,2.276,2.679,1.864
111291,2022-04-15 18:25:00-06:00,1.963,1.87,1.814,2.223,1.674,2.48,2.145,1.856
111292,2022-04-15 18:26:00-06:00,1.974,1.843,1.84,2.228,1.685,2.338,2.922,1.87
111293,2022-04-15 18:27:00-06:00,1.951,1.831,1.841,2.224,1.694,2.258,3.506,1.858
111294,2022-04-15 18:28:00-06:00,1.95,1.812,1.867,2.219,1.666,2.278,2.587,1.822
111295,2022-04-15 18:29:00-06:00,1.912,1.791,1.871,2.243,1.672,2.274,3.108,1.845
111296,2022-04-15 18:30:00-06:00,1.943,1.784,1.896,2.212,1.651,2.445,2.092,1.857
111297,2022-04-15 18:31:00-06:00,1.942,1.777,1.893,2.217,1.656,3.266,2.036,1.85
111298,2022-04-15 18:32:00-06:00,1.948,1.781,1.912,2.204,2.682,2.411,2.02,1.871
111299,2022-04-15 18:33:00-06:00,1.943,1.792,1.927,2.229,4.453,2.315,2.002,1.846
111300,2022-04-15 18:34:00-06:00,1.951,1.794,1.944,2.196,2.559,2.306,1.995,1.873
111301,2022-04-15 18:35:00-06:00,1.976,1.826,1.957,2.188,2.764,2.273,1.962,1.872
111302,2022-04-15 18:36:00-06:00,1.987,1.836,1.971,2.184,1.676,2.303,1.955,1.867
111303,2022-04-15 18:37:00-06:00,1.978,1.861,1.975,2.161,1.657,3.686,1.919,1.874
111304,2022-04-15 18:38:00-06:00,1.992,1.839,1.972,2.146,1.676,3.537,1.934,1.869
111305,2022-04-15 18:39:00-06:00,1.995,1.857,1.989,2.137,1.665,5.745,1.915,1.881
111306,2022-04-15 18:40:00-06:00,1.971,1.852,1.998,2.117,1.676,4.911,1.915,1.872
111307,2022-04-15 18:41:00-06:00,1.99,1.87,1.997,2.107,1.683,2.359,1.893,1.903
111308,2022-04-15 18:42:00-06:00,1.974,1.869,2.015,2.098,1.689,2.287,1.927,1.901
